Timestamp, Current1, Current2, Current3, Current4
7061454,-8,-22,-6,-6
7077107,-17,-21,-5,-6
7093047,-30,-21,-10,-6
7108898,-40,-21,-16,-5
7124861,-56,-21,-14,-7
7140815,-70,-22,-16,-7
7156768,-77,-22,-19,-8
7172793,-87,-22,-19,-8
7188738,-86,-22,-21,-10
7204942,-73,-22,-19,-9
7220807,-63,-21,-13,-9
7236737,-59,-21,-20,-12
7252689,-53,-21,-14,-7
7268759,-45,-22,-16,-11
7284714,-40,-21,-13,-12
7300669,-35,-24,-16,-10
7316631,-32,-21,-17,-9
7333477,-29,-21,-14,-10
7348626,-29,-21,-18,-7
7364653,-26,-22,-13,-8
7380595,-21,-22,-15,-7
7397447,-18,-21,-14,-6
7413407,-19,-22,-14,-7
7429363,-16,-22,-15,-8
7445321,-14,-22,-9,-6
7460839,-11,-22,-11,-7
7476780,-11,-21,-9,-5
7492741,-9,-21,-6,-5
7508699,-13,-21,-8,-6
7524584,-13,-22,-11,-7
7540604,-10,-22,-7,-7
7556492,-11,-22,-7,-7
7572447,-11,-24,-7,-6
7589376,-8,-22,-8,-5
7605328,-10,-22,-6,-7
7621288,-10,-25,-6,-5
7636241,-13,-22,-6,-5
7652200,-11,-22,-5,-5
7668232,-14,-22,-8,-6
7685160,-13,-21,-8,-5
7701128,-9,-21,-11,-6
7717170,-12,-21,-5,-6
7733187,-14,-22,-8,-6
7749138,-16,-22,-4,-5
7765052,-13,-22,-5,-6
7781031,-14,-21,-5,-5
7796959,-12,-22,-6,-8
7812915,-12,-21,-4,-5
7828870,-14,-22,-3,-5
7844828,-15,-22,-12,-5
7860865,-14,-22,-6,-5
7876965,-16,-22,-7,-7
7893206,-18,-22,-8,-7
7909194,-15,-22,-6,-5
7925160,-16,-21,-5,-5
7941078,-16,-23,-10,-6
7957101,-17,-21,-5,-7
7972736,-12,-21,-9,-5
7988691,-14,-22,-6,-6
8004648,-15,-22,-7,-5
8020610,-17,-22,-7,-5
8036542,-19,-22,-4,-9
8052493,-17,-21,-7,-7
8068493,-14,-21,-9,-8
8085336,-14,-21,-6,-7
8100296,-19,-22,-3,-6
8116292,-21,-22,-3,-7
8132207,-17,-22,-9,-6
8148164,-17,-22,-5,-7
8164312,-18,-22,-12,-6
8180806,-19,-22,-6,-8
8197001,-18,-22,-4,-7
8213004,-20,-22,-4,-5
8228700,-17,-22,-8,-5
8244893,-16,-21,-8,-7
8261035,-16,-22,-8,-6
8276667,-17,-21,-7,-6
8292985,-18,-22,-8,-5
8308946,-19,-22,-6,-6
8324905,-17,-21,-6,-5
8340861,-18,-22,-8,-7
8356818,-20,-22,-5,-5
8372699,-17,-22,-3,-7
8388651,-20,-22,-4,-7
8404629,-16,-22,-7,-5
8420478,-16,-21,-6,-7
8436403,-8,-22,-6,-6
8452516,1,-21,-5,-7
8468479,5,-22,-6,-6
8484540,0,-22,-7,-8
8501383,0,-21,-4,-5
8517345,-6,-22,-3,-6
8533298,-10,-22,-7,-6
8549257,-11,-22,-8,-5
8565214,-11,-22,-4,-5
8581165,-11,-22,-4,-7
8597122,-11,-21,-8,-5
8613078,-11,-22,-6,-7
8629036,-11,-21,-9,-5
8644990,-11,-22,-7,-6
8661049,-11,-21,-6,-6
8676775,-11,-22,-5,-6
8692732,-11,-21,-4,-6
8708686,-11,-22,-3,-8
8724860,-11,-22,-8,-7
8740803,-11,-22,-4,-5
8756870,-11,-22,-4,-6
8772799,-11,-22,-4,-5
8788798,-11,-22,-9,-7
8804717,-11,-22,-8,-5
8820659,-11,-22,-4,-5
8836654,-11,-22,-8,-8
8852625,-11,-23,-6,-7
8868530,-11,-22,-5,-5
8884713,-11,-22,-7,-6
8900705,-11,-22,-11,-7
8916968,-11,-22,-6,-6
8932979,-11,-22,-5,-5
8948934,-11,-22,-6,-5
8964891,-11,-22,-3,-5
8980862,-11,-22,-7,-5
8996882,-11,-21,-4,-6
9012833,-11,-22,-12,-5
9028793,-11,-22,-4,-6
9044751,-11,-21,-6,-5
9060709,-11,-23,-6,-7
9076560,-11,-22,-4,-6
9092509,-11,-22,-7,-5
9108497,-11,-22,-4,-6
9124454,-11,-25,-6,-6
9140464,-11,-22,-4,-6
9156390,-11,-22,-2,-5
9173300,-11,-22,-3,-5
9188287,-11,-22,-10,-7
9205209,-11,-22,-6,-6
9220797,-11,-22,-9,-6
9236751,-11,-21,-5,-5
9253241,-11,-22,-8,-6
9269203,-11,-21,-4,-6
9284414,-11,-21,-4,-6
9301312,-9,-22,-8,-5
9317273,-11,-22,-4,-5
9332672,-11,-22,-11,-6
9348632,-11,-22,-6,-5
9364589,-11,-22,-7,-5
9380557,-11,-21,-5,-7
9396977,-11,-22,-4,-6
9412863,-11,-22,-4,-8
9428819,-11,-22,-7,-7
9444735,-11,-22,-5,-7
9460690,-12,-22,-10,-6
9476653,-12,-22,-7,-7
9492605,-12,-22,-9,-6
9508562,-12,-22,-4,-7
9524519,-12,-22,-5,-7
9540478,-12,-22,-7,-7
