Timestamp, Current1, Current2, Current3, Current4
7061797,-7,-50,-5,-3
7077650,-19,-50,-7,-4
7093602,-34,-49,-5,-3
7109561,-50,-49,-10,-3
7125516,-61,-50,-12,-1
7141506,-66,-49,-11,13
7157430,-74,-49,-13,12
7173421,-73,-49,-12,13
7189465,-78,-48,-12,15
7205416,-76,-48,-12,16
7221368,-70,-50,-12,16
7237333,-67,-48,-12,16
7253288,-64,-50,-12,16
7269429,-60,-49,-12,10
7285455,-57,-48,-11,13
7301353,-49,-49,-11,13
7318257,-40,-50,-12,0
7333860,-34,-49,-9,1
7349810,-30,-49,-10,2
7365785,-26,-49,-10,0
7381726,-21,-48,-8,-1
7397682,-15,-50,-7,1
7413638,-13,-49,-6,-1
7429595,-12,-48,-3,-1
7445629,-12,-48,-6,-1
7461598,-8,-50,-2,-1
7477550,-9,-49,-7,-2
7493519,-9,-50,-4,-3
7509493,-7,-50,-2,-3
7525345,-8,-49,-2,-3
7541340,-7,-49,-4,-3
7557254,-9,-49,-3,-3
7573240,-12,-48,-3,-3
7589252,-11,-50,-2,-3
7605189,-13,-50,-3,-3
7621147,-10,-50,-3,-3
7637236,-8,-49,-2,-4
7653192,-11,-49,-5,-5
7669149,-11,-52,-1,-5
7685138,-11,-50,-4,-5
7701172,-13,-49,-4,-5
7717086,-9,-50,-2,-4
7733978,-10,-49,-3,-7
7749937,-11,-49,-3,-3
7765893,-14,-51,-4,-3
7781864,-13,-49,-3,-3
7797808,-12,-50,-2,-4
7813844,-14,-49,-3,-5
7829804,-17,-50,-2,-4
7845755,-14,-51,-2,-3
7861711,-16,-50,-2,-4
7877669,-11,-50,-3,-5
7893624,-13,-50,-5,-6
7909584,-14,-48,-1,-5
7925620,-16,-50,-3,-5
7941576,-11,-49,-2,-3
7957595,-14,-49,-2,-5
7973590,-14,-49,-3,-2
7989547,-11,-49,-4,-6
8005506,-9,-50,-2,-5
8021460,-12,-50,-2,-5
8037312,-17,-50,-3,-1
8053376,-14,-50,-2,-4
8069421,-15,-48,-1,-3
8085374,-15,-50,-3,-5
8101323,-16,-50,-1,-2
8117178,-13,-49,-2,-4
8133143,-15,-49,-1,-3
8149142,-15,-48,-2,-4
8165052,-14,-49,-5,-4
8181048,-15,-50,-5,-3
8196965,-13,-49,-3,-4
8213504,-15,-48,-3,-4
8229468,-14,-50,-4,-7
8245435,-14,-49,-4,-4
