Timestamp, Current1, Current2, Current3, Current4
7364871,-7,-26,-2,-6
7380738,-26,-26,-4,-5
7396674,-34,-26,-12,-7
7412738,-48,-26,-10,-10
7428696,-56,-26,-13,-11
7444886,-67,-25,-13,-13
7460729,-75,-25,-17,-13
7476727,-72,-26,-14,-10
7492644,-68,-26,-15,-11
7508602,-56,-26,-15,-13
7524557,-49,-25,-16,-11
7540513,-41,-25,-14,-11
7556472,-36,-25,-14,-13
7572508,-28,-26,-10,-11
7588470,-26,-25,-13,-13
7604458,-26,-26,-17,-10
7620409,-22,-26,-12,-11
7636371,-21,-26,-9,-12
7653218,-23,-26,-9,-11
7668563,-23,-25,-11,-12
7684435,-22,-26,-14,-14
7700317,-19,-26,-12,-13
7716950,-18,-26,-6,-14
7732903,-20,-26,-9,-14
7748862,-17,-26,-12,-14
7764129,-17,-26,-9,-15
7780295,-17,-25,-7,-15
7796323,-15,-26,-6,-15
7812215,-12,-26,-4,-15
7828132,-9,-26,-8,-15
7844121,-6,-26,-3,-15
7860076,-3,-26,-6,-15
7877002,-1,-26,-3,-15
7892958,0,-26,-3,-15
7908205,0,-26,-3,-15
7925047,-1,-26,-3,-15
7941005,0,-26,-2,-15
7956965,0,-26,-2,-15
7972548,0,-26,-4,-7
7988794,-4,-26,-3,-7
8004864,-23,-26,-4,-7
8020854,-25,-26,-4,-5
8036852,-21,-26,-5,-6
8052848,-13,-26,-4,-7
8068823,-10,-26,-4,-7
8084766,-11,-26,-5,-6
8100725,-16,-26,-10,-8
8116577,-18,-26,-6,-6
8132634,-14,-26,-5,-6
8148520,-15,-26,-4,-5
8164445,-16,-26,-7,-5
8180397,-17,-26,-3,-5
8196353,-15,-26,-2,-5
8212310,-15,-26,-5,-5
8228266,-13,-26,-3,-7
8244322,-13,-26,-5,-5
8260714,-17,-26,-4,-6
8276687,-15,-26,-6,-5
8292700,-12,-26,-4,-5
8308589,-13,-26,-3,-6
8324549,-13,-26,-4,-8
8340512,-17,-26,-6,-5
8356664,-16,-26,-4,-6
8372646,-16,-26,-5,-7
8388582,-16,-26,-7,-6
8404537,-14,-26,-5,-6
8420898,-15,-26,-5,-5
8436683,-4,-26,-3,-6
8452640,2,-26,-2,-8
8468599,0,-26,-3,-5
8484834,0,-26,-4,-7
8500785,0,-26,-5,-6
8516741,-2,-27,-3,-7
8532706,-10,-26,-3,-5
8548655,-11,-26,-5,-7
8564642,-11,-26,-4,-7
8580627,-11,-27,-4,-7
8596529,-9,-27,-3,-6
8612495,-10,-26,-3,-7
8628401,-11,-26,-6,-7
8644369,-10,-26,-4,-5
8660927,-9,-26,-4,-5
8676370,-7,-26,-4,-8
8692328,-11,-26,-4,-5
8708586,-9,-26,-4,-5
8724536,-11,-26,-4,-5
8740520,-11,-26,-4,-6
8756454,-11,-26,-4,-5
8772409,-9,-26,-4,-6
8788365,-8,-26,-3,-5
8804326,-8,-27,-3,-7
8820287,-10,-27,-4,-7
8837124,-9,-26,-4,-5
8852199,-10,-26,-3,-6
