Timestamp, Current1, Current2, Current3, Current4
3714130,-3,-79,0,-3
3745370,-14,-79,0,0
3776615,-5,-79,0,-2
3807861,0,-79,0,-3
3838960,-2,-79,2,0
3870334,-46,-76,-26,2
3901549,-120,-75,-25,6
3932687,-125,-75,-26,5
3979626,-115,-75,-25,16
4010793,-103,-75,-25,18
4042035,-81,-77,-26,8
4073286,-64,-77,-24,3
4104529,-54,-78,-24,19
4135851,-52,-78,-25,3
4167165,-55,-78,-25,2
4198404,-68,-75,-25,10
4229649,-69,-78,-25,3
4260889,-78,-78,-27,9
4292136,-82,-78,-26,16
4323374,-81,-77,-27,12
4354624,-75,-78,-25,12
4385843,-71,-77,-25,7
4417062,-70,-78,-28,2
4448325,-67,-78,-25,2
4479573,-67,-78,-24,8
4510813,-63,-78,-27,7
4542050,-71,-78,-25,9
4573271,-71,-78,-27,10
4620096,-72,-78,-25,10
4651407,-72,-78,-24,-1
4682654,-73,-78,-25,5
4713898,-73,-78,-25,2
4745134,-68,-78,-25,12
4776241,-69,-78,-26,9
4807482,-70,-78,-26,6
4838859,-75,-78,-25,0
4870101,-71,-78,-24,8
4901346,-76,-78,-27,0
4932452,-70,-78,-26,3
4963830,-78,-78,-25,0
4995080,-58,-78,-27,0
5026334,-26,-78,-25,0
5057580,-7,-78,-18,2
5088826,-10,-78,-18,1
5120061,-26,-79,-18,1
5151282,-26,-78,-18,1
