Timestamp, Current1, Current2, Current3, Current4
3733952,-132,-28,-16,22
3765188,-150,-26,-17,22
3796437,-149,-26,-18,20
3827676,-147,-25,-20,21
3858919,-138,-25,-19,21
3890159,-98,-26,-19,22
3921404,-94,-31,-20,23
3952650,-85,-25,-18,18
3983889,-100,-26,-19,24
4015116,-124,-23,-19,21
4046346,-135,-24,-18,22
4093232,-125,-27,-19,22
4124483,-115,-28,-21,21
4155730,-97,-26,-20,22
4186973,-65,-35,-20,22
4218210,-50,-36,-18,22
4249386,-65,-37,-19,22
4280588,-87,-28,-19,20
4311939,-127,-24,-18,25
4343181,-154,-24,-19,22
4374428,-177,-17,-19,21
4405668,-181,-6,-19,21
4436914,-193,-1,-19,21
4468154,-193,-1,-19,22
4499393,-181,3,-19,21
4530638,-160,13,-19,21
4561879,-161,19,-19,22
4593118,-181,19,-20,22
4624364,-194,18,-19,21
4655602,-170,28,-15,22
4686827,-185,33,-11,22
4717945,-190,38,0,20
4764921,-179,42,0,19
4796048,-161,57,29,12
4827317,-138,43,17,18
4858560,-60,-43,-1,-3
4889850,3,-100,-9,-2
4921096,10,-35,-10,2
4952408,8,-54,-5,-2
4983653,3,-54,-7,-1
5014894,0,-54,-5,1
5046138,-6,-54,-9,-1
5077381,-1,-54,-7,1
5108622,-8,-54,-8,0
5139868,-10,-54,-8,-2
