Timestamp, Current1, Current2, Current3, Current4
5733700,-9,-84,-4,1
5764938,-12,-83,-5,-1
5796346,-1,-83,-6,1
5827574,-3,-84,-5,8
5858817,-4,-84,-7,0
5889947,-4,-83,-4,1
5921150,-6,-83,-4,0
5952390,-48,-65,-13,19
5983669,-77,-74,-12,19
6015022,-94,-74,-14,19
6046255,-129,-71,-15,21
6077480,-155,-64,-17,20
6108707,-133,-68,-17,21
6155510,-111,-68,-16,19
6186768,-91,-69,-18,19
6217997,-88,-68,-18,20
6249237,-91,-68,-18,19
6280472,-89,-69,-20,22
6311709,-112,-52,-18,22
6343071,-131,-43,-17,20
6374321,-139,-46,-20,21
6405538,-131,-51,-19,21
6436685,-130,-48,-19,22
6468029,-129,-51,-19,22
6499270,-114,-50,-19,22
6530512,-108,-51,-20,22
6561758,-106,-50,-20,21
6592999,-101,-50,-19,22
6624149,-116,-47,-19,22
6655393,-136,-38,-17,23
6686637,-150,-24,-19,22
6717835,-159,-21,-19,23
6749114,-151,-25,-19,22
6780397,-134,-26,-18,22
6827236,-143,-24,-18,22
6858465,-168,-26,-18,22
6889815,-183,-2,-18,22
6921048,-187,-2,-18,22
6952169,-174,30,-18,20
6983532,-183,48,-14,20
7014650,-166,41,-8,19
7045916,-142,43,0,19
7077163,-73,50,-18,15
7108502,1,-121,-10,0
7139744,19,-76,-10,1
7171010,19,-29,-5,1
7202251,0,-54,-8,-2
7233497,-24,-53,-9,1
7264743,-19,-53,-8,0
7295976,0,-53,-8,-1
