Timestamp, Current1, Current2, Current3, Current4
5700534,-3,-41,-25,-4
5732483,-15,-43,-24,-4
5764412,-2,-40,-26,-4
5796356,-1,-43,-24,-4
5828068,-3,-40,-23,-4
5859981,-5,-42,-24,-4
5891927,-4,-44,-25,-4
5923953,-1,-42,-24,-4
5955724,-5,-44,-25,-4
5987768,-3,-45,-24,-4
6020548,-5,-43,-25,-4
6052355,-3,-43,-25,-4
6084307,-4,-43,-26,-4
6116257,-2,-43,-23,-4
6148168,-3,-44,-25,-4
6179959,-2,-42,-25,-4
6212000,-6,-43,-24,-4
6243952,-9,-42,-25,-4
6275862,-8,-41,-24,-4
6307772,-8,-42,-25,-4
6339568,-3,-40,-25,-4
6372489,-7,-44,-25,-4
6404443,-8,-42,-24,-4
6436355,-9,-40,-26,-4
6468313,-10,-43,-24,-4
6499994,-9,-43,-24,-4
6531906,-8,-43,-25,-4
6563830,-7,-44,-25,-4
6596295,-10,-42,-26,-4
6628237,-9,-43,-24,-4
6660056,-14,-45,-25,-4
6692101,-10,-45,-25,-4
6723885,-13,-42,-25,-4
6755922,-9,-44,-25,-4
6787836,-11,-41,-24,-4
6819765,-10,-42,-24,-4
6852543,-12,-46,-24,-4
6884457,-11,-43,-25,-4
6916424,-11,-41,-24,-4
6948083,-10,-41,-25,-4
6979996,6,-40,-25,-4
7011905,13,-41,-26,-4
7043827,23,-43,-23,-4
7075617,-1,-41,-26,-4
7108138,-21,-40,-25,-4
7140075,-17,-44,-25,-4
7171980,0,-41,-23,-4
7203905,-1,-42,-24,-4
7235818,-11,-42,-25,-4
