Timestamp, Current1, Current2, Current3, Current4
5701096,-2,-42,-22,-4
5732943,-13,-41,-23,-4
5764855,-5,-41,-22,-4
5796826,0,-41,-23,-4
5828728,-13,-39,-23,12
5860685,-25,-43,-25,0
5892609,-17,-40,-24,-1
5924562,-8,-44,-23,0
5956476,-12,-40,-23,1
5988581,-8,-41,-24,1
6020488,-16,-41,-24,3
6052554,-12,-39,-24,0
6084443,-14,-40,-24,6
6116361,-14,-42,-23,4
6148227,-13,-41,-23,3
6180207,-13,-41,-24,-1
6213320,-14,-42,-24,-2
6244888,-19,-44,-23,0
6276810,-16,-39,-25,-2
6308727,-17,-41,-25,3
6340641,-15,-42,-22,-3
6372384,-17,-44,-23,0
6404293,-16,-41,-23,-1
6436207,-15,-42,-23,-2
6469117,-19,-40,-25,-2
6501082,-20,-43,-22,-2
6533051,-19,-41,-25,-2
6564910,-16,-42,-24,-2
6596779,-20,-40,-26,-2
6628783,-16,-42,-24,-1
6660684,-23,-41,-22,-1
6692647,-17,-42,-24,-2
6724435,-22,-43,-24,0
6756348,-19,-40,-24,0
6788343,-22,-40,-24,-1
6821179,-19,-42,-24,-1
6853091,-22,-42,-25,-2
6885087,-22,-42,-25,0
6916984,-22,-40,-24,-2
6948931,-19,-41,-25,1
6980622,2,-44,-25,0
7012527,9,-42,-24,0
7044986,18,-42,-25,-3
7076942,-2,-41,-25,-3
7108851,-26,-41,-24,-4
7140766,-22,-42,-25,-3
7172677,0,-41,-24,-3
