Timestamp, Current1, Current2, Current3, Current4
3699589,-89,-78,-27,2
3731673,-114,-74,-30,8
3763719,-131,-73,-32,12
3795632,-114,-71,-31,9
3827538,-104,-73,-26,11
3859451,-84,-72,-27,8
3891243,-67,-77,-25,10
3924155,-63,-77,-26,6
3956069,-60,-75,-26,18
3987388,-63,-75,-26,13
4019873,-66,-75,-26,5
4051418,-71,-77,-26,14
4083626,-79,-75,-29,14
4115540,-84,-75,-26,15
4147458,-90,-77,-26,15
4180245,-94,-77,-27,3
4211249,-83,-76,-26,4
4244081,-90,-74,-30,13
4275994,-88,-75,-26,3
4307901,-93,-76,-26,6
4339815,-106,-76,-27,2
4371731,-116,-74,-31,7
4403765,-118,-75,-30,7
4435691,-120,-74,-27,-2
4467599,-118,-73,-31,0
4499518,-109,-75,-34,0
4531307,-111,-77,-34,-1
4563346,-107,-74,-33,-2
4596134,-111,-74,-29,1
4628045,-116,-74,-35,11
4659390,-121,-73,-34,-1
4691300,-133,-76,-36,-2
4723211,-149,-71,-38,-3
4756125,-159,-74,-36,-3
4787070,-164,-73,-38,-3
4819075,-164,-73,-41,-2
4851869,-167,-74,-39,-2
4883596,-169,-75,-42,-4
4915511,-166,-74,-41,-11
4947426,-168,-74,-41,0
4980211,-139,-76,-42,-2
5011129,-106,-77,-39,-4
5044039,-78,-78,-29,-4
5075957,-96,-78,-34,-4
5107868,-107,-78,-33,-4
5139870,-102,-78,-33,-4
