Timestamp, Current1, Current2, Current3, Current4
3684970,-5,-67,-1,-3
3716390,-13,-67,-1,-3
3748314,-3,-67,-1,-3
3781176,-1,-67,-1,-3
3813090,-5,-67,-1,-3
3845007,-6,-67,-1,-3
3876920,-8,-67,-1,-3
3908927,-2,-67,-1,-3
3940873,-5,-67,-1,-3
3972787,-4,-68,-1,-3
4004711,-8,-67,-1,-3
4036491,-21,-67,-23,-2
4068532,-99,-63,-27,-1
4100519,-122,-53,-27,6
4132695,-127,-42,-27,13
4164609,-114,-41,-26,22
4196490,-103,-24,-26,26
4228398,-108,-18,-26,23
4260443,-94,-29,-26,21
4292223,-88,-29,-26,22
4324136,-74,-29,-27,16
4356089,-58,-30,-26,16
4388968,-34,-29,-24,12
4420901,-18,-30,-13,-3
4452810,-6,-29,-4,-3
4484710,-2,-27,-4,-3
4516622,-10,-27,-1,-3
4548538,-12,-27,-6,-3
4580451,-10,-27,-4,-3
4612494,-11,-27,-3,-4
4644298,-15,-27,-3,-4
4676206,-13,-27,-3,-4
4709113,-15,-27,-4,-4
4741028,-11,-27,-4,-4
4772947,-12,-27,-2,-4
4804918,-14,-27,-3,-4
4836778,-13,-26,-3,-4
4868820,-15,-27,-4,-4
4900601,-14,-27,-4,-4
4932460,-13,-26,-5,-4
4964387,0,-27,-5,-4
4996270,8,-27,-3,-4
5028168,5,-27,-4,-4
5060084,0,-27,-2,-4
5091999,-9,-27,-4,-4
5123912,-22,-28,-3,-4
5156431,-1,-26,-3,-4
