Timestamp, Current1, Current2, Current3, Current4
3699609,-6,-56,-2,-3
3731383,-4,-57,-2,-2
3763830,-7,-56,-2,-3
3795756,-6,-56,-2,-3
3827687,-23,-56,-7,-3
3859116,-33,-56,-7,-3
3891058,-11,-56,-5,-3
3923918,-3,-56,-4,-1
3955824,-14,-56,-3,-3
3987738,-18,-56,-6,-3
4019653,-22,-56,-2,-3
4051436,-16,-56,-4,-3
4084262,-15,-56,-3,-3
4115187,-13,-56,-3,-3
4148090,-18,-56,-4,-3
4179360,-18,-56,-4,-3
4212222,-20,-56,-3,-3
4243270,-16,-56,-3,-3
4275610,-17,-56,-4,-2
4307491,-14,-56,-4,-3
4339618,-19,-55,-4,-3
4371754,-14,-56,-2,-3
4403918,-17,-57,-4,0
4435880,-18,-56,-4,-3
4467769,-21,-56,-4,-3
4499689,-16,-56,-4,-2
4531478,-16,-56,-4,-3
4563398,-17,-55,-5,-2
4595305,-21,-56,-3,-3
4627212,-18,-56,-4,-1
4659158,-20,-56,-7,-3
4691078,-20,-56,-4,-3
4723954,-19,-56,-7,-3
4755880,-12,-56,-3,-3
4787791,-11,-56,-7,-3
4819802,-11,-56,-3,-3
4851283,-12,-56,-3,-3
4884063,-13,-55,-3,-3
4915983,-15,-56,-3,-3
4947900,-16,-56,-5,-3
4979789,1,-56,-4,-3
5011630,1,-56,-4,-3
5043671,6,-56,-2,-3
5075574,-2,-56,-2,-3
5107503,-7,-56,-2,-3
5139408,-21,-56,-2,-3
5171576,0,-56,-2,-3
