Timestamp, Current1, Current2, Current3, Current4
3444779,0,-29,0,-5
3460732,0,-29,-5,-5
3476689,0,-24,-16,-5
3492649,0,-28,-8,-5
3508597,0,-26,-7,-5
3524556,0,-27,-5,-6
3541388,0,-31,-4,-5
3557344,0,-26,-6,-5
3572961,0,-27,-5,-5
3588918,0,-25,-4,-5
3605085,0,-24,-3,-5
3621046,0,-28,-6,-4
3636997,0,-25,-38,-2
3652953,-27,-30,-26,-2
3668911,-32,-24,-29,-3
3684873,-40,-22,-64,14
3700829,-37,-26,-82,10
3716786,-38,-25,-72,12
3732743,-37,-28,-64,11
3748701,-36,-26,-52,19
3764658,-36,-28,-42,8
3780611,-33,-28,-30,2
3797152,-29,-22,-32,4
3813071,-30,-27,-28,8
3829052,-25,-23,-24,3
3845007,-20,-29,-14,-1
3860966,-19,-27,-5,1
3876923,-9,-31,-2,-3
3892882,0,-27,-1,-3
3908838,-1,-27,-8,-3
3924791,-1,-31,-10,-3
3940825,-1,-27,-14,-3
3957000,-1,-29,-19,-3
3972869,-6,-24,-19,-3
3988910,-11,-27,-23,0
4004867,-15,-28,-22,7
4020817,-32,-23,-22,7
4036787,-35,-22,-22,22
4052738,-32,-24,-22,0
4068696,-14,-33,-23,-1
4084652,-15,-26,-20,-1
4101085,-11,-21,-22,-3
4117041,-10,-26,-22,-3
4133002,-12,-28,-23,-2
4148948,-12,-26,-22,-3
4164910,-13,-29,-23,-2
4180862,-14,-25,-22,-3
4196823,-13,-28,-23,-2
4212781,-12,-26,-22,1
4228734,-16,-26,-23,-3
4516730,-3,-30,7,-3
4532905,-2,-24,-7,-3
4548863,-2,-29,-16,-3
4564831,-2,-31,-19,-3
4580652,-2,-29,-8,-3
4596724,-2,-28,-9,-3
4612685,0,-25,-7,-3
4628639,-1,-26,-12,-3
4644907,0,-29,-6,-3
4660865,0,-26,-6,-3
4676823,0,-31,-6,-3
4692659,0,-28,-8,-3
4708737,7,-26,-5,-3
4724695,6,-27,-6,-3
4740651,11,-18,-7,-3
4756617,-4,-26,-8,-3
4773046,-1,-30,-9,-3
4789023,-1,-28,-6,-3
4804982,-1,-26,-41,6
4820935,-32,-23,-44,0
4836895,-44,-26,-48,1
4852852,-39,-28,-81,12
4868805,-35,-23,-77,16
4884761,-31,-27,-39,-1
4900729,-18,-29,-26,-3
4916683,-16,-30,-16,-2
4932638,0,-26,-8,-3
4948587,0,-28,-10,-2
4964554,-3,-31,-25,-3
4981378,-5,-27,-18,-3
4996468,-7,-28,-24,-3
5013293,-11,-31,-24,-2
5029252,-14,-23,-25,-1
5045227,-21,-27,-24,0
5061209,-25,-27,-24,-2
5077022,-17,-24,-24,2
5093009,-12,-32,-24,-3
5108967,-7,-28,-24,-2
5124937,-10,-21,-24,-2
5140799,-10,-26,-25,0
5156837,-11,-22,-24,-3
5172792,-11,-26,-25,-3
5188751,-12,-23,-24,0
5204718,-12,-23,-24,-2
5220664,-12,-28,-25,-2
5236619,-11,-29,-24,-3
5252572,-11,-22,-25,-3
5268719,-11,-22,-23,1
5284895,-11,-26,-24,0
5300984,-11,-27,-24,-2
5588591,-3,-32,4,-3
5604552,-3,-24,-9,-3
5620501,-2,-26,-18,-3
5636462,-2,-27,-6,-3
5653284,-5,-33,-13,-3
5669033,-3,-27,-11,-3
5684931,-1,-29,-8,-3
5701014,-1,-32,-9,-3
5716963,-1,-29,-6,-3
5732931,-1,-31,-5,-3
5748886,-1,-28,-5,-3
5764839,-1,-31,-6,-3
5780802,-1,-26,-7,-3
5796756,2,-26,-6,-3
5812704,5,-28,-6,-3
5828551,7,-31,-8,-3
5844630,7,-24,-10,-3
5860588,0,-28,-9,-3
5876547,0,-32,-9,-3
5892497,-1,-26,-40,-2
5908457,-30,-27,-33,-2
5925287,-34,-31,-42,-2
5940375,-34,-28,-60,5
5957199,-33,-25,-60,12
5973156,-25,-29,-40,-2
5989148,-16,-28,-24,-2
6005125,-21,-30,-17,0
6020827,-8,-25,-14,-3
6037018,-7,-31,-26,-1
6052945,-8,-23,-36,-3
6068917,-12,-27,-34,-3
6084879,-12,-29,-42,-3
6100830,-12,-29,-43,-3
6116789,-12,-30,-38,-2
6132745,-13,-31,-37,-2
6148703,-13,-24,-44,0
6164660,-12,-25,-39,3
6180623,-12,-27,-41,0
6196575,-12,-31,-35,-1
6212531,-12,-33,-40,4
6228871,-13,-31,-43,1
6244828,-13,-30,-39,7
6260785,-13,-30,-42,0
6276740,-13,-24,-40,-2
6292700,-12,-33,-45,5
6308657,-13,-30,-43,0
6324486,-13,-28,-39,0
6340448,-13,-26,-38,-1
6356429,-16,-25,-43,-1
6372355,-12,-28,-40,0
