Timestamp, Current1, Current2, Current3, Current4
003444373,00000,-0026,00000,-0006
003460319,00000,-0025,-0013,-0005
003476276,00000,-0025,-0006,-0006
003492232,00000,-0022,-0005,-0005
003508224,00000,-0025,-0001,-0005
003524150,00000,-0025,00000,-0005
003540102,00000,-0021,00000,-0005
003556062,00000,-0021,00000,-0005
003572017,00000,-0025,00000,-0005
003588008,00002,-0025,00000,-0007
003603933,00000,-0022,00000,-0004
003619923,00000,-0025,00000,-0006
003635845,00000,-0024,00000,-0005
003652802,00000,-0025,-0002,-0004
003668785,00000,-0023,00000,-0004
003684728,00000,-0025,00000,-0005
003700776,00000,-0024,-0001,-0005
003716692,00000,-0024,-0006,-0006
003732715,00000,-0024,-0002,-0005
003748552,00000,-0023,-0003,-0006
003764508,00000,-0025,-0002,-0004
003780470,00000,-0025,-0003,-0005
003796419,-0001,-0025,00000,-0005
003812381,-0001,-0025,-0001,-0005
003828332,-0001,-0023,-0001,-0004
003844291,-0001,-0025,00008,-0005
003860246,00000,-0025,00007,-0005
003876299,00011,-0023,00004,-0005
003892163,00009,-0024,00003,-0006
003908534,00000,-0026,00000,-0005
003924490,00000,-0020,00000,-0004
003940449,00000,-0022,-0002,-0005
003956514,00000,-0025,-0004,-0005
003972473,00000,-0026,-0003,-0006
003988438,00000,-0026,-0002,-0005
004004367,-0001,-0025,-0004,-0004
004020351,00003,-0022,-0004,-0004
004036238,00009,-0026,-0002,-0005
004052158,00002,-0026,-0005,-0004
004068138,00000,-0026,-0001,-0004
004084061,00000,-0025,-0002,-0005
004100022,00000,-0026,-0002,-0004
004115980,00000,-0026,-0002,-0005
004131935,00000,-0026,-0003,-0006
004147891,00000,-0025,-0003,-0004
004163850,00007,-0026,-0004,-0005
004179815,00000,-0024,-0004,-0004
004195767,00000,-0024,-0003,-0005
004212733,00000,-0022,-0002,-0004
004228674,00000,-0026,-0002,-0004
