Timestamp, Current1, Current2, Current3, Current4
3668818,-21,-28,-27,2
3684776,-20,-26,-24,-3
3700734,-23,-28,-22,5
3716691,-28,-29,-27,0
3732651,-30,-26,-27,1
3748605,-31,-26,-26,1
3764561,-25,-23,-25,0
3780524,-22,-24,-26,0
3796482,-22,-28,-27,6
3812436,-19,-25,-26,5
3828392,-15,-28,-14,0
3844387,-12,-28,-9,0
3861337,-7,-23,-5,-2
3877331,0,-26,-5,-3
3893318,-1,-25,-21,-2
3909181,-1,-23,-11,-2
3925180,-3,-26,-11,-1
3941123,-8,-27,-18,0
3957047,-12,-27,-20,1
3973098,-12,-28,-20,13
3989057,-12,-27,-20,3
4005054,-12,-29,-20,10
4021013,-8,-26,-20,9
4036961,-9,-29,-20,3
4052930,-11,-28,-20,3
4068805,-10,-29,-21,-1
4084716,-11,-26,-20,-3
4100673,-6,-28,-17,-3
4116631,-2,-29,-18,-3
4132628,-2,-27,-18,0
4148571,-6,-29,-19,-2
4164529,-9,-29,-22,-3
4180482,-11,-27,-20,-3
4196500,-5,-29,-15,-3
4213363,-3,-27,-18,-3
4229371,-5,-29,-17,-3
4245334,-10,-29,-16,-3
4261317,-9,-24,-16,-3
4277199,-7,-29,-17,-3
4293152,-4,-29,-19,-2
4309110,-6,-29,-16,-3
4325062,-9,-29,-19,-3
4341051,-8,-30,-17,-2
4357074,-4,-28,-15,-3
4373067,-4,-29,-15,-3
4389001,-9,-28,-18,-3
4404988,-6,-29,-16,-2
4420816,-6,-29,-16,-3
4436773,-4,-30,-17,-2
4452721,-7,-23,-17,-3
4981126,-2,-27,-9,-3
4997083,-2,-26,-10,-3
5013050,-2,-27,-9,-3
5028912,-2,-21,-7,-3
5044830,-2,-29,-15,-3
5060823,-2,-29,-40,12
5076739,-26,-28,-30,-3
5092697,-38,-23,-31,-2
5108652,-28,-26,-50,15
5124700,-33,-27,-26,4
5140663,-10,-27,-13,0
5156615,0,-25,-9,-2
5172620,-5,-27,-26,1
5189438,-5,-30,-21,-2
5205395,-6,-23,-22,1
5221228,-8,-25,-27,0
5237181,-10,-29,-27,0
5253177,-12,-26,-25,0
5269180,-8,-29,-26,4
5285124,-11,-26,-25,-1
5301082,-11,-29,-26,1
5316961,-9,-30,-27,-2
5333010,-10,-27,-25,0
5348960,-8,-27,-26,-2
5364917,-9,-29,-25,-3
5380880,-9,-28,-23,0
5396833,-9,-29,-25,-2
5412793,-9,-28,-24,-2
5428748,-9,-28,-25,1
5444737,-7,-26,-23,0
5460887,-9,-25,-25,-2
5476855,-8,-29,-25,-2
5492803,-11,-25,-23,2
5508782,-10,-29,-26,-3
5524720,-8,-29,-23,1
5540681,-9,-29,-25,-3
5557504,-9,-29,-26,-2
5573461,-11,-29,-26,0
5589419,-9,-27,-26,-2
5605374,-8,-25,-26,-2
5621244,-9,-29,-25,-2
5637217,-6,-30,-26,1
5653211,-8,-27,-25,-1
5669194,-8,-29,-25,-3
5685025,-8,-27,-26,0
5701021,-9,-30,-25,-1
5716976,-8,-29,-24,-2
5732897,-9,-29,-23,-2
5748883,-10,-29,-25,-2
5764906,-8,-29,-25,-3
6293153,-2,-27,-11,-3
6309113,-2,-26,-11,-3
6325099,-2,-29,-11,-3
6341057,-2,-29,-11,-3
6357014,-2,-28,-33,-3
6372979,-13,-27,-36,-1
6388935,-39,-27,-39,-2
6404887,-35,-25,-45,10
6420844,-32,-26,-41,4
6437164,-31,-23,-19,1
6453146,-2,-29,-10,1
6469109,0,-30,-7,-2
6484972,-1,-30,-21,-3
6501049,-3,-27,-10,-3
6516994,-3,-27,-19,-2
6533034,-8,-23,-21,-2
6548993,-10,-30,-23,1
6564938,-11,-29,-22,0
6580901,-10,-22,-22,-2
6596855,-11,-27,-22,0
6612818,-11,-29,-21,6
6628777,-10,-29,-22,0
6644736,-11,-29,-21,-2
6660688,-12,-30,-23,1
6676647,-12,-26,-21,-1
6692605,-11,-25,-20,-3
6708564,-6,-29,-21,-3
6725384,-9,-30,-20,1
6741341,-10,-30,-21,-2
6757299,-10,-29,-22,-1
6773297,-7,-26,-21,-2
6789211,-7,-30,-22,-2
6805214,-8,-29,-21,0
6821170,-8,-30,-22,1
6837157,-8,-29,-21,1
6853129,-9,-25,-22,0
6869104,-8,-27,-21,0
6885069,-10,-29,-22,-1
6901036,-9,-30,-22,10
6916875,-8,-26,-22,-1
6932878,-6,-28,-21,-2
6948790,-10,-28,-22,-1
6964873,-7,-24,-22,0
6980837,-9,-26,-22,-2
6996784,-9,-30,-22,-2
7012745,-10,-28,-23,0
7028575,-9,-30,-22,2
7044537,-9,-28,-23,-1
7060621,-6,-28,-22,5
7076584,-7,-29,-21,-2
