Timestamp, Current1, Current2, Current3, Current4
3684742,-27,-25,-68,9
3700781,-28,-27,-68,2
3716493,-27,-27,-67,8
3732406,-28,-28,-68,0
3748362,-28,-24,-65,-3
3764318,-29,-28,-57,-3
3780533,-30,-27,-46,0
3796277,-30,-28,-43,0
3812238,-31,-26,-40,1
3828195,-30,-28,-31,1
3845023,-31,-29,-21,0
3860981,-30,-29,-15,-3
3876938,-18,-27,-14,-3
3892609,-5,-26,-14,-3
3908573,-2,-30,-15,-3
3924525,-8,-28,-23,-3
3940492,-9,-26,-27,-3
3956448,-11,-29,-27,-3
3972397,-12,-29,-26,-3
3988362,-8,-29,-27,-3
4004322,-7,-29,-26,-3
4020276,-11,-27,-26,-3
4036245,-11,-29,-24,-3
4052183,-11,-30,-25,-3
4068065,-9,-30,-22,-3
4084977,-8,-28,-25,-3
4100453,-11,-30,-22,-3
4116413,-11,-29,-25,-3
4132367,-12,-29,-24,-3
4148324,-8,-30,-26,-3
4164283,-8,-30,-26,-3
4180461,-11,-29,-22,-3
4196409,-11,-29,-23,-3
4212362,-8,-27,-25,-3
4228327,-9,-29,-24,-3
4244281,-11,-28,-26,-3
4260236,-12,-30,-25,-3
4276191,-11,-29,-26,-3
4292149,-7,-30,-25,-3
4308984,-11,-30,-25,-3
4324937,-9,-29,-25,-3
4340897,-10,-28,-24,-3
4356852,-8,-28,-24,-3
4372804,-10,-29,-26,-3
4388761,-10,-30,-24,-3
4404438,-10,-30,-25,-3
4420269,-10,-29,-24,-3
4436352,-8,-30,-26,-3
4452318,-10,-30,-26,-3
4469140,-12,-27,-24,-3
4996673,-2,-29,-11,-3
5012689,-2,-28,-9,-3
5028642,-2,-29,-10,-3
5044600,-2,-26,-12,-3
5060566,-3,-30,-29,-3
5076529,-23,-29,-57,-3
5092493,-41,-29,-51,-3
5108440,-35,-29,-62,-3
5124404,-30,-26,-64,-3
5140363,-32,-30,-54,-3
5156311,-32,-30,-44,-3
5172271,-32,-26,-36,-3
5188223,-31,-29,-32,-3
5204188,-32,-27,-39,-3
5220146,-32,-29,-45,-3
5236106,-33,-29,-49,-3
5252932,-33,-29,-51,-3
5268890,-33,-29,-51,-3
5284849,-33,-29,-51,-3
5299801,-33,-26,-51,-3
5316757,-33,-26,-51,-3
5332379,-33,-30,-51,-3
5348337,-31,-29,-51,-3
5364299,-33,-30,-51,-3
5380273,-33,-27,-51,-3
5396211,-33,-30,-51,-3
5412171,-32,-30,-51,-3
5428112,-34,-29,-51,-3
5444950,-33,-30,-51,-3
5460906,-33,-30,-51,-3
5475991,-33,-29,-51,-3
5491945,-33,-28,-51,-3
5508241,-33,-28,-51,-3
5524372,-33,-30,-51,-3
5540337,-32,-27,-51,-3
5556288,-33,-30,-51,-3
5572271,-33,-26,-51,-3
5588208,-32,-29,-51,-3
5604168,-33,-30,-51,-3
5620120,-33,-29,-51,-3
5635952,-34,-29,-51,-3
5652905,-33,-29,-51,-3
5668863,-33,-23,-51,-3
5684820,-32,-29,-51,-3
5699821,-33,-29,-51,-3
5716732,-33,-29,-51,-3
5732686,-34,-30,-51,-3
5747646,-33,-30,-51,-3
5763635,-33,-29,-51,-3
5779561,-33,-25,-51,-3
6308038,-2,-30,-15,-3
6323996,-4,-30,-34,-3
6339955,-25,-29,-59,-3
6355877,-42,-29,-63,-3
6371835,-34,-29,-75,-3
6387791,-29,-27,-78,-3
6403749,-29,-28,-72,-3
6419707,-31,-26,-58,-1
6435697,-31,-28,-44,-3
6451621,-32,-30,-29,-3
6467612,-22,-29,-19,-3
6483592,-7,-30,-15,-3
6500490,-7,-30,-12,-3
6516468,-11,-30,-29,-3
6532462,-11,-29,-36,-3
6548367,-12,-30,-43,-3
6564368,-12,-30,-42,-3
6580323,-12,-30,-38,-3
6596371,-13,-30,-42,-3
6612327,-14,-29,-39,-3
6628277,-17,-28,-41,-3
6644237,-13,-29,-43,-3
6660199,-12,-30,-41,-3
6676148,-12,-30,-38,-3
6692113,-12,-30,-40,-3
6708071,-12,-29,-41,-2
6724026,-19,-30,-42,2
6739984,-20,-30,-40,-2
6756813,-21,-29,-44,-2
6772458,-21,-30,-45,-1
6788538,-14,-30,-45,-3
6804544,-12,-30,-45,-3
6820397,-13,-30,-44,-3
6836482,-13,-31,-40,-3
6852433,-13,-30,-36,-3
6868399,-13,-30,-40,-3
6884349,-18,-30,-38,-3
6900316,-19,-29,-40,-3
6916271,-18,-30,-41,-1
6932225,-20,-30,-41,-3
6948114,-20,-30,-43,-3
6964017,-14,-30,-41,-3
6980015,-18,-30,-45,-3
6996067,-16,-28,-44,-2
7012026,-23,-30,-44,-3
7028846,-23,-30,-45,-2
7043933,-20,-27,-44,-2
7060764,-20,-30,-45,-1
7076718,-19,-28,-44,-2
7092669,-17,-27,-44,-3
